,Title,Questions,answers
0,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',What is the purpose of the Singapore-IEA Regional Training Programme on Seizing Opportunities with Regional Power Grids?,The purpose of the training programme is to enhance capabilities in regional power grids and discuss the potential of regional power grids.
1,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',Who are the participants of the Singapore-IEA Regional Training Programme?,"The participants include policymakers, regulators, utilities, and the industry."
2,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',"According to the Southeast Asia Energy Outlook 2022, how can regional integration and multilateral power trading benefit power systems?",Regional integration and multilateral power trading can enhance power systems flexibility and accelerate renewable energy projects.
3,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',What is the focus of the training programme in terms of cross-border electricity trading?,"The training programme aims to share best practices and expertise in cross-border electricity trading, including the development of subsea interconnectors."
4,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',What are the goals of the collaboration between Singapore's Energy Market Authority and the International Energy Agency?,"The collaboration aims to facilitate decarbonization, enhance energy resilience, and improve access to energy in the region."
5,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',What does the IEA emphasize regarding the power systems in Southeast Asia?,The IEA emphasizes the need for further integration of national power systems in Southeast Asia to meet rising electricity demand with renewables in a cost-effective and sustainable manner.
6,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',When will the Singapore-IEA Ministerial Forum be held?,The Singapore-IEA Ministerial Forum will be held on 24 October 2023 at the 16th Singapore International Energy Week.
7,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',What is the main objective of the Singapore International Energy Week?,The main objective of the Singapore International Energy Week is to bring together global energy stakeholders to discuss and collaborate on energy-related issues.
8,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',How can regional power grids contribute to decarbonization efforts?,"Regional power grids can facilitate the integration of renewable energy sources and enable the sharing of clean energy across borders, thereby contributing to decarbonization efforts."
9,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',What are the potential benefits of enhanced regional power grids?,"Enhanced regional power grids can lead to improved energy resilience, increased energy security, and more efficient utilization of renewable energy resources."
10,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",What is the purpose of building and operating the two 340 MW Open Cycle Gas Turbine (OCGT) units in Singapore?,To enhance the power system's reliability and maintain the balance between energy supply and demand.
11,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",What role do the OCGTs play in preventing supply disruptions and power system collapses?,They provide fast start generation capacity to meet increasing electricity demand and replace retiring capacity.
12,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",When are the OCGTs expected to be operational?,By June 2025.
13,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",What is the primary fuel used by the OCGTs?,Natural gas.
14,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",What percentage of hydrogen can the OCGTs currently use as fuel?,Up to 30%.
15,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",What is the potential future percentage of hydrogen that the OCGTs can use as fuel?,Potentially 100%.
16,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",Who is responsible for building and operating the OCGTs?,"Meranti Power, a subsidiary of the Energy Market Authority."
17,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",What is the purpose of the OCGTs replacing retiring capacity?,To provide backup capacity for future growth in electricity demand.
18,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",Why is fast start generation capacity important?,To maintain the balance between energy supply and demand and prevent power system collapses.
19,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'",What is the capacity of each of the two OCGTs?,Each OCGT has a capacity of 340 MW.
20,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',From when will all residential premises be required to have a Residual Current Circuit Breaker (RCCB) installed?,From 1 July 2023.
21,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',How long is the grace period given to homeowners to install an RCCB?,Homeowners have a grace period of two years.
22,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',What is the purpose of an RCCB?,An RCCB is a safety device that cuts off electricity supply upon detecting current leakages that may cause electric shocks.
23,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',Do most residential premises already have an RCCB installed?,Most residential premises built after July 1985 already have an RCCB installed.
24,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',How will HDB flat owners be notified to install an RCCB?,The Energy Market Authority (EMA) will notify HDB flat owners.
25,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',Will the government fully fund the installation of an RCCB for lower-income households?,"Yes, the government will fully fund the installation for lower-income households."
26,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',What subsidy will the government provide for larger HDB flats and private residences without an RCCB?,The government will subsidize up to 95% of the installation and rewiring costs.
27,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',What is the potential fine for non-compliance with the RCCB requirement?,"Non-compliance may result in a fine of up to $5,000."
28,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',What is the recommendation regarding testing and replacing the RCCB?,Homeowners are encouraged to regularly test their RCCB and replace it if faulty.
29,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',"Where can additional information, including cost-sharing ratios and FAQs, be found?",Additional information can be found in the provided annexes.
30,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',What is the purpose of the proposed centralised process by EMA?,To facilitate private investments in new generation capacity.
31,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',Why is the current commercial-driven approach considered insufficient?,It may not result in sufficient generation capacity to meet demand at the system level.
32,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',What will EMA do if there is insufficient private sector interest or unsuitable proposals?,EMA will step in to build the required capacity.
33,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',When will the first Request-for-Proposal (RFP) for new generation capacity be launched?,In the second half of this year.
34,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',What is the projected growth rate of system peak demand in Singapore?,4% - 6%.
35,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',What is the projected range of system peak demand in Singapore by 2028?,Between 10.1GW and 11.7GW.
36,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',When does the consultation period for feedback on the proposed centralised process close?,"May 8, 2023."
37,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',What will EMA do if projections show insufficient capacity for new generation?,Conduct a Request-for-Proposal (RFP) for private sector involvement or step in to build the required capacity.
38,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',What is the objective of the Energy Market Authority (EMA)?,To ensure a reliable and competitive energy market in Singapore.
39,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',What is the purpose of the RFP for new generation capacity?,To invite private sector involvement in building new generation capacity.
40,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",What changes have been announced at the Energy Market Authority (EMA)?,Two new members have been appointed and five members have been re-appointed to the board.
41,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",What changes have been announced at JTC Corporation (JTC)?,Three new members have been appointed and six members have been re-appointed to the board.
42,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",What changes have been announced at Sentosa Development Corporation (SDC)?,One new member has been appointed and six members have been re-appointed to the board.
43,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",Who will be stepping down from the Energy Market Authority (EMA) board?,The CEO of EquiVolt Pte Ltd and an Emeritus Professor from the National University of Singapore.
44,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",Who will be stepping down from the JTC Corporation (JTC) board?,The Group President & CEO of ST Engineering Ltd.
45,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",Who will be stepping down from the Sentosa Development Corporation (SDC) board?,The Vice-Chairman of SHATEC Institutes Pte Ltd.
46,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",When will the board changes take effect?,The board changes will take effect on 1 April 2023.
47,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",How many members have been re-appointed to the Energy Market Authority (EMA) board?,Five members have been re-appointed to the board.
48,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",How many members have been re-appointed to the JTC Corporation (JTC) board?,Six members have been re-appointed to the board.
49,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'",How many members have been re-appointed to the Sentosa Development Corporation (SDC) board?,Six members have been re-appointed to the board.
50,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',What is the purpose of the Temporary Electricity Contracting Support Scheme (TRECS)?,The purpose of TRECS was to help large consumers secure retail contracts during the global energy crisis.
51,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',When was the Temporary Electricity Contracting Support Scheme (TRECS) introduced?,TRECS was introduced in December 2021.
52,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',Why is the Energy Market Authority (EMA) discontinuing TRECS?,EMA is discontinuing TRECS because global energy prices have become less volatile and longer-term retail contracts are now available.
53,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',What is the recommendation for consumers on TRECS or Wholesale Electricity Prices (WEP)?,Consumers on TRECS or WEP are encouraged to enter into retail contracts for greater price certainty.
54,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',What measures will EMA take to strengthen the foundations of the energy market?,"EMA will institutionalize crisis management measures, such as the Standby LNG Facility (SLF) for energy security."
55,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',What regulatory requirements will EMA tighten on electricity retailers?,EMA will tighten regulatory requirements on electricity retailers.
56,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',What will EMA explore in terms of gas procurement?,EMA will explore ways to centrally aggregate gas procurement for more secure and long-term contracts.
57,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',When will the discontinuation of TRECS take effect?,The discontinuation of TRECS will take effect from 1 May 2023.
58,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',What was the purpose of the Standby LNG Facility (SLF)?,The purpose of the Standby LNG Facility (SLF) was to ensure energy security.
59,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',What was the purpose of the Temporary Electricity Contracting Support Scheme (TRECS)?,The purpose of TRECS was to help large consumers secure retail contracts during the global energy crisis.
60,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',What milestone has the Energy Market Authority granted to Keppel Energy?,Conditional Approval to import 1 GW of electricity from Cambodia into Singapore.
61,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',What is Singapore's ambition in terms of low-carbon electricity imports by 2035?,To import up to 4 GW of low-carbon electricity.
62,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',What types of energy will the imported electricity from Cambodia harness?,"Solar energy, hydropower, and potentially wind power."
63,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',How will the electricity be transmitted from Cambodia to Singapore?,"Via new subsea cables of more than 1,000 km."
64,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',What is the project supported by between Cambodia and Singapore?,A Memorandum of Understanding (MOU) on Energy Cooperation.
65,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',What does the Conditional Approval allow Keppel Energy to do?,Obtain necessary regulatory approvals and licenses for the project.
66,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',What are the goals of regional collaboration in this project?,"Enhance energy security, increase access to reliable, clean energy, and stimulate economic growth."
67,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',What is the timeline for reviewing other proposals?,Before the Request for Proposal (RFP) closes in December 2023.
68,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',How many pairs of questions and answers are in this JSON?,10.
69,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',What organization granted the Conditional Approval?,The Energy Market Authority (EMA).
70,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What is the capacity of the Sembcorp Energy Storage System (ESS)?,The ESS has a maximum storage capacity of 285 megawatt hour (MWh).
71,"EMA: b""Southeast Asia's largest energy storage system officially opens""",How many households can the ESS meet the electricity needs for?,"The ESS can meet the electricity needs of around 24,000 households for one day."
72,"EMA: b""Southeast Asia's largest energy storage system officially opens""",How long did it take to commission the ESS?,"The ESS was commissioned in just six months, making it the fastest in the world of its size to be deployed."
73,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What role will the ESS play in Singapore's energy transition?,The ESS will support the active management of electricity supply and demand for grid stability and contribute to Singapore's transition towards cleaner energy sources.
